Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type,Recording Key,Relative Timestamp,Acceleration Magnitude,Gyroscope Magnitude,Dynamic Acceleration
1,9607247430,-0.1369,0.093,0.9794,5.18,-0.98,1.96,Cut,Cut_1,0,0.9932849389777336,5.624446639448187,0.006715061022266378
1,9607280856,-0.1479,0.0769,0.9984,5.32,-1.75,1.05,Cut,Cut_1,33426,1.0122206182448568,5.698017198991242,0.012220618244856762
1,9607320845,-0.153,0.0769,1.0263,2.31,-2.87,0.14,Cut,Cut_1,73415,1.040487529958913,3.686814343033834,0.040487529958912916
1,9607360890,-0.1545,0.1025,1.0424,-2.66,-4.55,-0.21,Cut,Cut_1,113460,1.0587607189540043,5.274675345459661,0.058760718954004254
1,9607400849,-0.1984,0.0864,1.1258,0.91,-8.19,0.0,Cut,Cut_1,153419,1.1464088101545626,8.24040047570505,0.14640881015456264
1,9607440865,-0.3089,0.0849,1.2634,1.75,-16.87,1.89,Cut,Cut_1,193435,1.3033828217373438,17.065506145438523,0.30338282173734377
1,9607480853,-0.4817,-0.0124,1.4662,-1.19,-38.22,6.23,Cut,Cut_1,233423,1.543350605014946,38.742707700933856,0.5433506050149459
1,9607520844,-0.6544,-0.019,1.6433,-11.76,-77.21,10.29,Cut,Cut_1,273414,1.7689079258118552,78.7754136771112,0.7689079258118552
1,9607560844,-0.7144,-0.0739,1.7605,-26.46,-122.64,6.65,Cut,Cut_1,313414,1.901364988633166,125.63806628566041,0.901364988633166
1,9607600842,-0.6961,-0.1523,1.6155,-55.93,-170.94,-4.55,Cut,Cut_1,353412,1.7656700569472203,179.91484374558982,0.7656700569472203
1,9607640842,-0.6405,0.0176,1.4032,-70.07,-212.94,-16.24,Cut,Cut_1,393412,1.542569366349533,224.75984094139238,0.542569366349533
1,9607680841,-0.6032,-0.0512,1.1836,-70.14,-246.75,-29.54,Cut,Cut_1,433411,1.3294286893248541,258.2204362555373,0.32942868932485414
1,9607720842,-0.5607,0.0615,0.8616,-83.65,-272.23,-36.82,Cut,Cut_1,473412,1.0298161486401347,287.1623370151455,0.02981614864013471
1,9607760841,-0.4085,0.1325,0.5248,-84.0,-289.87,-35.63,Cut,Cut_1,513411,0.6781176446605707,303.8916152183209,0.3218823553394293
1,9607800840,-0.2913,0.3638,0.1654,-66.5,-294.28,-26.6,Cut,Cut_1,553410,0.4945334063539085,302.8704812291881,0.5054665936460915
1,9607840846,-0.2306,0.3426,-0.0849,-26.6,-284.34,-19.95,Cut,Cut_1,593416,0.4216149072317059,286.27748444472536,0.5783850927682941
1,9607880840,-0.1259,0.2818,-0.2152,-22.54,-262.92,-18.69,Cut,Cut_1,633410,0.3762619964864908,264.5454480802874,0.6237380035135092
1,9607920840,-0.0842,0.3382,-0.4502,1.47,-236.67,-28.0,Cut,Cut_1,673410,0.5693407766882678,238.32509267804764,0.43065922331173223
1,9607960852,0.0798,0.2255,-0.5124,-5.46,-224.0,-41.44,Cut,Cut_1,713422,0.565483907817013,227.86637575561693,0.43451609218298703
1,9608000843,0.3272,0.4582,-0.4721,20.65,-206.57,-73.64,Cut,Cut_1,753413,0.7347690045177464,220.2735503867861,0.2652309954822536
1,9608040869,0.5944,0.2752,-0.5124,28.77,-179.27,-129.15,Cut,Cut_1,793439,0.8316250116488801,222.81195726441615,0.16837498835111986
1,9608080848,0.822,0.8133,-0.7847,21.98,-130.34,-207.62,Cut,Cut_1,833418,1.3974601890572769,246.12537536792098,0.39746018905727687
1,9608120843,1.2817,0.6529,-1.1368,9.59,-34.02,-316.54,Cut,Cut_1,873413,1.8333978128055024,318.50729991634415,0.8333978128055024
1,9608160842,2.0781,0.9414,-1.4911,24.22,118.16,-421.75,Cut,Cut_1,913412,2.7254564351682458,438.65870161208477,1.7254564351682458
1,9608200846,2.9778,1.2122,-1.6353,107.45,332.29,-465.85,Cut,Cut_1,953416,3.6070663661762588,582.2184891430364,2.6070663661762588
1,9608240843,4.2112,0.8733,-1.3688,170.52,562.87,-441.0,Cut,Cut_1,993413,4.513365902516657,735.1059157019483,3.5133659025166573
1,9608280842,5.5398,0.5036,-1.3615,133.28,751.17,-383.88,Cut,Cut_1,1033412,5.726838503921688,854.0396839140437,4.726838503921688
1,9608320846,6.7564,0.8477,-0.5827,244.65,882.98,-238.0,Cut,Cut_1,1073416,6.834257497343804,946.6526833532984,5.834257497343804
1,9608360840,8.7489,1.6799,1.4677,319.2,872.97,1.26,Cut,Cut_1,1113410,9.028812685508544,929.4981702510232,8.028812685508544
1,9608400839,6.4167,-0.3777,2.6293,719.88,611.17,326.27,Cut,Cut_1,1153409,6.944776070543959,999.1036463750895,5.944776070543959
1,9608440847,2.9221,-1.4186,3.1886,349.02,219.8,335.02,Cut,Cut_1,1193417,4.551732014299612,531.3806552745405,3.5517320142996116
1,9608480840,1.1214,-0.5065,2.6096,8.61,25.55,196.42,Cut,Cut_1,1233410,2.8851503201739765,198.26182436364292,1.8851503201739765
1,9608520855,0.1325,-0.3645,2.2502,-50.82,-40.81,129.99,Cut,Cut_1,1273425,2.283378317318442,145.41502192002037,1.283378317318442
1,9608560851,-0.3916,-0.3353,1.9208,-137.69,-45.85,109.13,Cut,Cut_1,1313421,1.988780855197475,181.5767482361109,0.988780855197475
1,9608600840,-0.6229,0.0146,1.5665,-55.16,-28.14,113.68,Cut,Cut_1,1353410,1.6858647098744313,129.45125569109015,0.6858647098744313
1,9608640839,-0.9553,-0.2877,1.4003,-77.14,-20.44,116.55,Cut,Cut_1,1393409,1.7193631001042218,141.25252457920885,0.7193631001042218
1,9608680859,-0.8908,-0.0029,1.0885,-59.64,-9.24,112.63,Cut,Cut_1,1433429,1.4065437426543121,127.7803744711996,0.40654374265431215
1,9608720841,-1.0116,-0.1793,1.0175,-41.3,-12.74,102.13,Cut,Cut_1,1473411,1.4459561888245438,110.89875788303492,0.4459561888245438
1,9608760842,-0.967,-0.0622,0.9026,-26.95,-19.81,93.24,Cut,Cut_1,1513412,1.3242524683760268,99.05774174692253,0.32425246837602684
1,9608800846,-1.0599,-0.161,0.7657,-35.07,-38.43,83.02,Cut,Cut_1,1553416,1.317423811838848,97.97494679763801,0.31742381183884794
1,9608840839,-1.1653,-0.0813,0.5607,-33.81,-49.56,71.19,Cut,Cut_1,1593409,1.2957307860817384,93.09847367169883,0.2957307860817384
1,9608880841,-1.1902,-0.0234,0.4282,-20.44,-52.22,52.85,Cut,Cut_1,1633411,1.2651003280372668,77.05741041587109,0.2651003280372668
1,9608920842,-1.1222,-0.0417,0.3235,-5.53,-52.36,36.89,Cut,Cut_1,1673412,1.1686419383198603,64.28858841194136,0.1686419383198603
1,9608960857,-1.0614,-0.0366,0.2094,-13.72,-50.05,23.17,Cut,Cut_1,1713427,1.0824776579680524,56.83387898076287,0.0824776579680524
1,9609000883,-0.9904,0.1039,0.1625,4.97,-42.42,15.47,Cut,Cut_1,1753453,1.0090062536971711,45.4255236623641,0.009006253697171118
1,9609040847,-0.9223,0.0066,0.1222,29.12,-33.46,6.86,Cut,Cut_1,1793417,0.9303836251783455,44.884358077174284,0.0696163748216545
1,9609080845,-0.8674,0.0483,0.1274,11.48,-26.6,-4.55,Cut,Cut_1,1833415,0.8780355402829659,29.326658520874826,0.12196445971703407
1,9609120843,-0.8513,0.1362,0.1464,22.4,-19.32,-14.84,Cut,Cut_1,1873413,0.8744684614095581,33.094531270286936,0.12553153859044186
1,9609160844,-0.833,0.1296,0.1479,21.7,-12.04,-27.09,Cut,Cut_1,1913414,0.8558969388892567,36.73853154387094,0.14410306111074334
1,9609200839,-0.8477,0.2101,0.1427,23.24,-7.84,-38.71,Cut,Cut_1,1953409,0.8849297090729862,45.82605481601051,0.11507029092701382
2,9614411404,-0.6288,0.1215,1.3886,-44.17,-142.87,-20.65,Cut,Cut_2,0,1.5291702488604728,150.96108207084367,0.5291702488604728
2,9614443836,-0.7803,0.2079,1.2598,-49.91,-162.4,-23.38,Cut,Cut_2,32432,1.4963911721204453,171.49749998177816,0.49639117212044526
2,9614483834,-1.0592,0.3345,1.2261,-48.3,-175.7,-30.03,Cut,Cut_2,72430,1.6544231925356945,184.67588066664254,0.6544231925356945
2,9614523833,-0.8579,0.0168,1.2041,-73.15,-189.0,-45.57,Cut,Cut_2,112429,1.4785572224300283,207.72228431249258,0.4785572224300283
2,9614563831,-0.5907,0.2921,1.1544,-112.7,-220.57,-56.0,Cut,Cut_2,152427,1.3292434916146854,253.94569281639724,0.32924349161468536
2,9614603837,-0.4729,0.2211,0.9165,-116.34,-252.28,-47.04,Cut,Cut_2,192433,1.0547473014897928,281.76755597477865,0.05474730148979279
2,9614643831,-0.2657,0.3221,0.5468,-142.94,-273.98,-33.25,Cut,Cut_2,232427,0.6879935610163804,310.8093410758435,0.31200643898361957
2,9614683857,-0.0695,0.2503,0.1391,-139.23,-282.59,-10.29,Cut,Cut_2,272453,0.29466786387388766,315.19515399193557,0.7053321361261123
2,9614723845,0.0403,0.4392,-0.0871,-119.42,-270.41,2.87,Cut,Cut_2,312441,0.4495632769699945,295.6195889991054,0.5504367230300056
2,9614763831,0.1464,0.3726,-0.1325,-90.79,-247.45,-7.56,Cut,Cut_2,352427,0.42168705220815117,263.6882253723135,0.5783129477918488
