Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,9607247430,-0.1369,0.0930,0.9794,5.18,-0.98,1.96,Cut
1,9607280856,-0.1479,0.0769,0.9984,5.32,-1.75,1.05,Cut
1,9607320845,-0.1530,0.0769,1.0263,2.31,-2.87,0.14,Cut
1,9607360890,-0.1545,0.1025,1.0424,-2.66,-4.55,-0.21,Cut
1,9607400849,-0.1984,0.0864,1.1258,0.91,-8.19,0.00,Cut
1,9607440865,-0.3089,0.0849,1.2634,1.75,-16.87,1.89,Cut
1,9607480853,-0.4817,-0.0124,1.4662,-1.19,-38.22,6.23,Cut
1,9607520844,-0.6544,-0.0190,1.6433,-11.76,-77.21,10.29,Cut
1,9607560844,-0.7144,-0.0739,1.7605,-26.46,-122.64,6.65,Cut
1,9607600842,-0.6961,-0.1523,1.6155,-55.93,-170.94,-4.55,Cut
1,9607640842,-0.6405,0.0176,1.4032,-70.07,-212.94,-16.24,Cut
1,9607680841,-0.6032,-0.0512,1.1836,-70.14,-246.75,-29.54,Cut
1,9607720842,-0.5607,0.0615,0.8616,-83.65,-272.23,-36.82,Cut
1,9607760841,-0.4085,0.1325,0.5248,-84.00,-289.87,-35.63,Cut
1,9607800840,-0.2913,0.3638,0.1654,-66.50,-294.28,-26.60,Cut
1,9607840846,-0.2306,0.3426,-0.0849,-26.60,-284.34,-19.95,Cut
1,9607880840,-0.1259,0.2818,-0.2152,-22.54,-262.92,-18.69,Cut
1,9607920840,-0.0842,0.3382,-0.4502,1.47,-236.67,-28.00,Cut
1,9607960852,0.0798,0.2255,-0.5124,-5.46,-224.00,-41.44,Cut
1,9608000843,0.3272,0.4582,-0.4721,20.65,-206.57,-73.64,Cut
1,9608040869,0.5944,0.2752,-0.5124,28.77,-179.27,-129.15,Cut
1,9608080848,0.8220,0.8133,-0.7847,21.98,-130.34,-207.62,Cut
1,9608120843,1.2817,0.6529,-1.1368,9.59,-34.02,-316.54,Cut
1,9608160842,2.0781,0.9414,-1.4911,24.22,118.16,-421.75,Cut
1,9608200846,2.9778,1.2122,-1.6353,107.45,332.29,-465.85,Cut
1,9608240843,4.2112,0.8733,-1.3688,170.52,562.87,-441.00,Cut
1,9608280842,5.5398,0.5036,-1.3615,133.28,751.17,-383.88,Cut
1,9608320846,6.7564,0.8477,-0.5827,244.65,882.98,-238.00,Cut
1,9608360840,8.7489,1.6799,1.4677,319.20,872.97,1.26,Cut
1,9608400839,6.4167,-0.3777,2.6293,719.88,611.17,326.27,Cut
1,9608440847,2.9221,-1.4186,3.1886,349.02,219.80,335.02,Cut
1,9608480840,1.1214,-0.5065,2.6096,8.61,25.55,196.42,Cut
1,9608520855,0.1325,-0.3645,2.2502,-50.82,-40.81,129.99,Cut
1,9608560851,-0.3916,-0.3353,1.9208,-137.69,-45.85,109.13,Cut
1,9608600840,-0.6229,0.0146,1.5665,-55.16,-28.14,113.68,Cut
1,9608640839,-0.9553,-0.2877,1.4003,-77.14,-20.44,116.55,Cut
1,9608680859,-0.8908,-0.0029,1.0885,-59.64,-9.24,112.63,Cut
1,9608720841,-1.0116,-0.1793,1.0175,-41.30,-12.74,102.13,Cut
1,9608760842,-0.9670,-0.0622,0.9026,-26.95,-19.81,93.24,Cut
1,9608800846,-1.0599,-0.1610,0.7657,-35.07,-38.43,83.02,Cut
1,9608840839,-1.1653,-0.0813,0.5607,-33.81,-49.56,71.19,Cut
1,9608880841,-1.1902,-0.0234,0.4282,-20.44,-52.22,52.85,Cut
1,9608920842,-1.1222,-0.0417,0.3235,-5.53,-52.36,36.89,Cut
1,9608960857,-1.0614,-0.0366,0.2094,-13.72,-50.05,23.17,Cut
1,9609000883,-0.9904,0.1039,0.1625,4.97,-42.42,15.47,Cut
1,9609040847,-0.9223,0.0066,0.1222,29.12,-33.46,6.86,Cut
1,9609080845,-0.8674,0.0483,0.1274,11.48,-26.60,-4.55,Cut
1,9609120843,-0.8513,0.1362,0.1464,22.40,-19.32,-14.84,Cut
1,9609160844,-0.8330,0.1296,0.1479,21.70,-12.04,-27.09,Cut
1,9609200839,-0.8477,0.2101,0.1427,23.24,-7.84,-38.71,Cut
2,9614411404,-0.6288,0.1215,1.3886,-44.17,-142.87,-20.65,Cut
2,9614443836,-0.7803,0.2079,1.2598,-49.91,-162.40,-23.38,Cut
2,9614483834,-1.0592,0.3345,1.2261,-48.30,-175.70,-30.03,Cut
2,9614523833,-0.8579,0.0168,1.2041,-73.15,-189.00,-45.57,Cut
2,9614563831,-0.5907,0.2921,1.1544,-112.70,-220.57,-56.00,Cut
2,9614603837,-0.4729,0.2211,0.9165,-116.34,-252.28,-47.04,Cut
2,9614643831,-0.2657,0.3221,0.5468,-142.94,-273.98,-33.25,Cut
2,9614683857,-0.0695,0.2503,0.1391,-139.23,-282.59,-10.29,Cut
2,9614723845,0.0403,0.4392,-0.0871,-119.42,-270.41,2.87,Cut
2,9614763831,0.1464,0.3726,-0.1325,-90.79,-247.45,-7.56,Cut
2,9614803833,0.3528,0.3748,-0.2277,-70.63,-222.81,-36.33,Cut
2,9614843841,0.5358,0.3323,-0.3982,-17.08,-198.24,-72.66,Cut
2,9614883833,0.5168,0.4677,-0.5307,-0.63,-158.69,-130.90,Cut
