Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,7182575435,-0.0227,-0.1069,1.0263,7.07,-8.96,1.96,Drive
1,7182607494,-0.0505,-0.0395,0.9926,13.09,-10.92,4.48,Drive
1,7182647485,-0.0322,-0.0220,1.0409,45.92,-12.11,3.57,Drive
1,7182687495,-0.0944,-0.1559,1.1405,35.49,-14.35,-9.59,Drive
1,7182727483,-0.1083,-0.1003,1.2839,9.59,-23.80,-24.71,Drive
1,7182767480,-0.1574,-0.0542,1.5438,23.24,-48.51,-31.99,Drive
1,7182807480,-0.2320,-0.2145,1.7934,25.83,-94.01,-34.02,Drive
1,7182847481,-0.1940,-0.0608,1.8490,9.73,-155.33,-31.15,Drive
1,7182887482,-0.3045,-0.0564,1.8966,25.20,-203.91,-29.40,Drive
1,7182927479,-0.3235,0.0637,1.6258,-14.35,-239.40,-32.83,Drive
1,7182967519,-0.2599,0.0168,1.2708,-5.74,-259.07,-20.79,Drive
1,7183007499,-0.1457,0.0608,0.9728,19.88,-264.39,-8.61,Drive
1,7183047484,-0.1135,-0.0227,0.7810,26.11,-248.78,-8.47,Drive
1,7183087482,-0.0227,-0.1779,0.5937,41.72,-214.97,-10.22,Drive
1,7183127487,0.2035,-0.1362,0.5000,28.21,-168.21,-13.72,Drive
1,7183167480,0.6112,0.0066,0.2525,28.56,-114.45,-24.01,Drive
1,7183207496,0.5724,0.1230,0.1698,19.32,-47.81,-39.62,Drive
1,7183247501,0.6134,0.3279,0.0600,-29.82,41.65,-72.03,Drive
1,7183287501,0.6749,0.2643,0.0754,-32.76,153.44,-87.01,Drive
1,7183327484,0.6588,0.1706,0.3052,5.81,278.81,-88.41,Drive
1,7183367501,0.9794,0.0922,0.5900,41.37,389.97,-72.73,Drive
1,7183407482,1.5958,-0.1464,1.2737,69.93,469.42,-35.07,Drive
1,7183447482,1.8439,-0.2686,2.5847,43.19,499.59,-18.90,Drive
1,7183487483,1.4889,0.4926,3.4931,9.73,471.31,-26.39,Drive
1,7183527481,0.4128,0.5065,4.2222,57.89,402.85,-4.90,Drive
1,7183567484,-0.1186,0.6120,3.6856,9.87,321.02,-4.34,Drive
1,7183607479,-0.3667,0.0271,2.7662,10.57,222.04,6.65,Drive
1,7183647479,-0.2686,-0.1464,2.0547,12.04,127.61,-1.40,Drive
1,7183687500,-0.2569,-0.1588,1.5035,3.08,62.16,-25.62,Drive
1,7183727482,-0.0498,-0.0132,1.0687,-4.48,33.11,-41.30,Drive
1,7183767478,0.3865,0.1332,0.7584,10.78,10.22,-36.40,Drive
1,7183807477,0.5944,0.1347,0.6625,5.74,-7.28,-28.56,Drive
1,7183847478,0.7854,0.1076,0.6251,5.74,-6.44,-18.06,Drive
1,7183887478,0.7825,0.1069,0.5761,1.33,-2.17,-9.03,Drive
1,7183927480,0.8198,0.0695,0.5446,9.66,1.96,0.49,Drive
1,7183967518,0.8608,0.0791,0.6010,-0.63,0.00,4.69,Drive
1,7184007484,0.8740,0.0549,0.6324,5.74,-2.66,4.34,Drive
1,7184047479,0.8418,0.0278,0.6163,3.15,-5.67,4.90,Drive
1,7184087494,0.8030,0.0220,0.5036,15.40,-5.60,11.34,Drive
1,7184127484,0.8389,-0.0329,0.4948,12.81,-3.71,13.51,Drive
1,7184167478,0.8052,-0.0088,0.5080,14.28,-1.26,10.99,Drive
1,7184207496,0.8220,-0.0124,0.5278,7.00,1.26,5.04,Drive
1,7184247483,0.7993,-0.0037,0.5146,12.04,1.26,1.82,Drive
1,7184287494,0.7920,-0.0088,0.5161,14.07,-0.56,1.19,Drive
