Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,528616384,0.0771,-0.6162,0.8682,-0.49,-14.77,2.99,Drive
1,528676383,0.0977,-0.6050,0.8613,-0.24,-8.18,4.21,Drive
1,528736385,0.0942,-0.6152,0.8774,1.10,-15.87,4.58,Drive
1,528796385,0.0781,-0.6123,0.8765,1.16,-12.82,3.78,Drive
1,528856384,0.1016,-0.6050,0.8794,-0.55,-6.23,3.42,Drive
1,550971614,-0.2300,0.0054,1.0605,37.72,-3.42,-15.87,Drive
1,552135933,-0.1367,0.1323,1.0669,-4.15,-3.54,0.98,Drive
1,552195936,-0.0586,0.1670,1.1152,-5.37,-5.00,3.85,Drive
1,552255935,-0.0005,0.1846,1.1372,-17.94,23.19,12.51,Drive
1,552315936,0.0518,0.1226,1.0571,-14.16,22.40,26.61,Drive
1,552375935,-0.1064,0.0396,1.1030,6.35,-64.45,35.77,Drive
1,552435934,-0.0742,0.1958,1.1025,10.56,-30.82,20.39,Drive
1,552495936,-0.1284,0.1782,0.9585,1.77,-40.47,10.74,Drive
1,552555937,-0.1162,0.1782,1.0542,0.55,-48.58,2.99,Drive
1,552615934,-0.1538,0.1401,1.1138,-0.85,-26.49,-7.63,Drive
1,552675934,-0.0952,0.1294,1.0713,5.55,-21.85,-9.40,Drive
1,552735936,-0.1035,0.1333,1.0317,6.53,-17.76,-4.46,Drive
1,552795935,-0.0732,0.1465,1.0200,-1.53,-14.83,1.53,Drive
1,552855937,-0.0762,0.1172,1.0332,-10.62,-11.72,4.15,Drive
1,552915937,-0.0571,0.1270,1.0854,-11.11,-10.38,2.50,Drive
1,552975935,-0.0469,0.1304,1.1021,-8.00,-8.85,1.65,Drive
1,553035936,-0.0151,0.1685,1.1152,-1.71,-17.27,4.33,Drive
1,553095935,0.0698,0.3276,1.3052,19.53,-37.54,11.60,Drive
1,553155937,0.0635,0.3672,1.4233,73.55,-49.68,18.74,Drive
1,553215934,0.0645,0.4214,1.3208,144.84,-48.77,22.71,Drive
1,553275937,0.0405,0.3687,1.1372,189.27,-43.33,24.29,Drive
1,553335937,0.0093,0.1846,1.0137,179.57,-5.62,16.66,Drive
1,553395937,-0.1099,-0.1655,0.9712,111.27,36.62,0.12,Drive
1,553455937,-0.2612,-0.4556,0.9004,3.23,74.77,-33.94,Drive
1,553515937,-0.2202,-0.2104,0.7627,-120.24,8.73,-58.53,Drive
1,553575934,-0.0918,0.0288,0.7847,-235.23,-54.08,-54.38,Drive
1,553635935,0.2339,-0.1567,1.1064,-318.18,-24.90,-42.24,Drive
1,553695936,-0.0200,-0.3003,1.3252,-319.82,-3.60,-54.02,Drive
1,553755937,0.0054,-0.0166,1.6758,-249.51,-75.07,-50.90,Drive
1,553815937,-0.1196,-0.1240,1.6577,-185.85,-27.59,-54.81,Drive
1,553875935,-0.0464,-0.2070,1.4321,-138.73,-52.31,-15.44,Drive
1,553935935,-0.0049,-0.4692,1.2251,-100.71,-11.29,3.54,Drive
