Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,31649421,-0.1323,0.0498,0.9746,-9.40,0.24,-0.06,Stationary
1,31709420,-0.1338,0.0811,0.9678,-3.78,-18.07,9.58,Stationary
1,31769421,-0.1074,0.0894,1.0962,-9.64,-23.62,13.31,Stationary
1,31829418,-0.1074,0.0591,1.1367,-11.66,-15.81,12.02,Stationary
1,31889420,-0.0923,0.0229,1.0464,-4.64,-13.85,11.05,Stationary
1,43979614,-0.1196,-0.1592,1.0200,-13.55,-11.23,7.93,Stationary
1,44313711,-0.1377,-0.1738,1.0596,-5.19,-13.43,4.76,Stationary
1,44373713,-0.1392,-0.1841,1.0718,-3.17,-8.12,2.20,Stationary
1,44433715,-0.1001,-0.1646,1.0645,-2.01,-16.42,2.20,Stationary
1,44493712,-0.0854,-0.1758,1.0581,-1.53,-13.79,1.83,Stationary
1,44553712,-0.1147,-0.2266,1.0703,-1.59,-6.90,-1.53,Stationary
1,44613713,-0.1206,-0.2798,1.0630,-3.30,-9.77,-4.58,Stationary
1,44673714,-0.0693,-0.4292,1.2163,2.81,-22.52,31.56,Stationary
1,44733713,0.0630,0.0205,1.3154,38.33,-53.47,23.01,Stationary
1,44793714,0.0288,-0.2246,1.3843,58.96,-27.53,3.91,Stationary
1,44853712,0.0181,0.0479,1.0664,73.61,43.70,-13.43,Stationary
1,44913712,-0.1533,0.2095,0.8140,56.70,-1.95,-9.34,Stationary
1,44973713,-0.1973,-0.0718,0.5410,2.81,-6.90,-4.64,Stationary
1,45033714,-0.1074,0.2036,0.6006,-39.43,-19.47,1.28,Stationary
1,45093714,-0.3262,-0.3535,1.0190,-66.96,-81.12,17.40,Stationary
1,45153713,-0.0234,-0.1196,1.7637,-1.65,-52.12,2.87,Stationary
1,45213712,0.0142,0.1035,1.6089,38.51,11.60,-19.71,Stationary
1,45273715,-0.0522,0.2388,1.0605,26.06,-10.13,-5.07,Stationary
1,45333715,-0.0044,0.1196,0.7314,-0.12,-28.32,10.80,Stationary
1,45393712,0.0732,0.0586,0.6006,-10.80,-16.91,12.94,Stationary
1,45453713,0.0234,0.0068,0.7490,-15.14,-41.69,9.64,Stationary
1,45513713,0.0488,0.0698,1.3784,-31.13,-30.88,-6.35,Stationary
1,45573713,0.0996,-0.0308,1.5483,-29.60,0.18,-26.37,Stationary
1,45633714,0.0361,-0.0659,1.2476,-12.76,1.89,-23.62,Stationary
1,45693715,-0.0190,-0.0693,0.9053,8.06,-13.55,-6.47,Stationary
1,45753714,0.0303,0.0337,0.6836,20.75,-18.86,9.28,Stationary
1,45813713,-0.0576,0.0425,0.8228,6.16,-22.46,17.33,Stationary
1,45873713,-0.0220,0.0464,1.2148,-33.26,-2.75,5.55,Stationary
1,45933714,0.0356,-0.1089,1.3765,-48.46,17.64,-12.70,Stationary
1,45993714,-0.0151,-0.1577,1.2275,-25.02,21.18,-17.88,Stationary
1,46053715,-0.0107,-0.0742,1.0215,5.80,-6.90,-2.62,Stationary
1,46113715,-0.0005,0.0103,0.8511,20.94,-30.64,17.94,Stationary
1,46173712,-0.0591,0.0122,0.8389,15.50,-34.18,25.27,Stationary
1,46233714,-0.0601,-0.0015,1.2642,-2.75,-25.45,14.22,Stationary
1,46293714,-0.0474,-0.1323,1.4941,-8.00,14.65,-7.39,Stationary
1,46353714,0.0249,-0.0688,1.2949,17.21,-2.08,-7.93,Stationary
1,46413714,0.0127,0.0439,1.0166,36.19,-21.61,6.47,Stationary
