Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,11123907424,-0.1654,-0.0315,0.9831,5.46,-6.79,9.24,Pull
1,11123939943,-0.1837,-0.0549,0.9670,1.61,-7.63,9.31,Pull
1,11123979989,-0.2013,-0.0293,0.9465,1.54,-6.23,10.22,Pull
1,11124019932,-0.2152,-0.0630,0.9399,1.54,-3.85,11.48,Pull
1,11124059930,-0.2233,-0.0395,0.9538,3.85,-1.26,11.55,Pull
1,11124099938,-0.2430,-0.0461,1.0175,4.69,-0.84,10.36,Pull
1,11124139927,-0.3082,-0.0725,1.1602,0.84,-1.40,7.91,Pull
1,11124179931,-0.4304,-0.1098,1.3798,-7.07,-10.22,3.29,Pull
1,11124219934,-0.5951,-0.0564,1.5467,-46.06,-42.35,-3.57,Pull
1,11124259928,-0.8367,-0.0703,1.7326,-32.48,-90.72,-4.20,Pull
1,11124299950,-0.9121,0.0615,1.6792,-78.54,-141.75,-11.34,Pull
1,11124339931,-0.9348,0.0124,1.5540,-86.03,-176.89,-15.26,Pull
1,11124379928,-0.8162,-0.0088,1.4647,-85.89,-198.24,-25.13,Pull
1,11124419949,-0.4333,-0.0622,1.2034,-121.31,-212.38,-48.44,Pull
1,11124459934,-0.0651,0.0227,0.8660,-159.32,-224.63,-71.12,Pull
1,11124499932,0.1566,0.2928,0.5248,-192.64,-224.77,-92.26,Pull
1,11124539928,0.2650,0.4963,0.2137,-181.37,-208.18,-111.58,Pull
1,11124579926,0.3682,0.6515,-0.0659,-154.07,-177.31,-130.97,Pull
1,11124619935,0.3470,0.5183,-0.2877,-103.32,-123.20,-153.02,Pull
1,11124659934,0.3243,0.6420,-0.4978,-125.30,-55.65,-172.62,Pull
1,11124699928,0.5395,0.7444,-0.6961,-108.78,21.49,-186.55,Pull
1,11124739931,0.8462,0.8733,-0.7627,-89.81,96.60,-206.01,Pull
1,11124779928,1.1302,0.9743,-0.7474,-73.08,175.77,-241.01,Pull
1,11124819928,1.6968,1.2978,-0.7730,-58.80,269.01,-284.34,Pull
1,11124859928,2.8394,1.4699,-0.7459,-57.26,363.30,-333.90,Pull
1,11124899926,4.0882,1.6704,-0.5688,-16.87,474.04,-368.90,Pull
1,11124939926,5.1064,1.2934,-0.3257,109.06,647.36,-308.07,Pull
1,11124979964,6.1986,0.9004,0.2408,194.95,833.42,-115.85,Pull
1,11125019931,7.7248,1.5108,1.6638,248.15,897.96,98.28,Pull
1,11125059933,7.3969,0.6917,3.4441,348.95,743.61,282.24,Pull
1,11125099928,3.9155,-0.3199,3.9374,137.83,439.81,241.50,Pull
1,11125139926,1.6331,-0.3887,3.5648,-61.25,236.88,96.04,Pull
1,11125179928,0.6756,-0.1296,2.9814,-81.62,149.73,7.70,Pull
1,11125219937,-0.1676,0.3711,2.2568,-61.60,140.63,3.29,Pull
1,11125259928,-0.4846,0.6112,1.8095,-6.09,135.45,36.68,Pull
1,11125299929,-0.3821,0.6464,1.6111,50.96,117.53,76.72,Pull
1,11125339926,-0.3353,0.7122,1.5387,49.77,72.87,93.73,Pull
1,11125379928,-0.3492,0.5644,1.3908,55.30,32.55,95.06,Pull
1,11125419930,-0.4970,0.4304,1.2246,53.34,3.50,87.64,Pull
1,11125459926,-0.4699,0.4114,1.0402,31.22,-11.20,68.60,Pull
1,11125499931,-0.4399,0.4978,0.8462,24.01,-16.52,55.65,Pull
1,11125539926,-0.5534,0.5849,0.7591,2.66,-17.78,44.80,Pull
1,11125579927,-0.5248,0.5622,0.6398,-0.21,-13.30,37.45,Pull
1,11125619929,-0.4743,0.4721,0.6237,-10.92,-9.24,31.22,Pull
1,11125659925,-0.5117,0.4363,0.5680,-3.36,-4.20,24.50,Pull
1,11125699926,-0.4926,0.4707,0.5388,-14.21,-4.41,15.61,Pull
1,11125739932,-0.4502,0.5366,0.5314,-9.38,-3.85,10.78,Pull
1,11125779926,-0.4575,0.5988,0.5446,-14.21,-1.19,8.05,Pull
1,11125819927,-0.4473,0.5944,0.5702,-16.03,3.29,7.98,Pull
1,11125859928,-0.4216,0.5871,0.5453,-3.78,3.29,9.17,Pull
2,11132207402,-0.1347,0.0381,0.9948,-0.98,-0.77,8.75,Pull
2,11132239523,-0.1596,0.0110,1.0116,1.68,-0.84,8.89,Pull
2,11132279519,-0.2291,0.0637,1.0475,-5.25,-2.17,8.40,Pull
2,11132319514,-0.3162,-0.0029,1.1361,-2.24,-5.88,9.45,Pull
2,11132359516,-0.4399,0.0520,1.2678,-14.70,-17.92,9.87,Pull
2,11132399518,-0.6273,0.0739,1.3798,-20.65,-43.61,14.98,Pull
2,11132439513,-0.7408,-0.0029,1.5555,-39.48,-80.15,21.14,Pull
2,11132479515,-0.7693,0.1845,1.5562,-36.40,-121.80,29.40,Pull
2,11132519540,-0.8008,-0.1581,1.5372,-52.92,-159.32,27.09,Pull
2,11132559517,-0.8996,0.1925,1.4596,-95.97,-184.17,20.09,Pull
2,11132599514,-0.8279,-0.0176,1.3549,-83.30,-193.20,5.32,Pull
2,11132639519,-0.4904,-0.0051,1.0782,-161.91,-199.57,-25.20,Pull
2,11132679512,-0.1347,0.1918,0.6837,-196.49,-207.48,-49.00,Pull
2,11132719513,0.0315,0.5109,0.3250,-220.57,-212.17,-72.24,Pull
2,11132759517,0.0930,0.5732,0.1449,-190.33,-199.64,-91.14,Pull
2,11132799514,0.2445,0.6390,-0.0132,-179.34,-179.97,-120.82,Pull
2,11132839512,0.3462,0.7422,-0.2101,-155.61,-149.80,-160.72,Pull
2,11132879514,0.3697,0.5256,-0.3272,-107.73,-109.48,-203.84,Pull
2,11132919512,0.7064,0.4912,-0.4934,-118.02,-54.81,-248.15,Pull
2,11132959553,1.0856,0.6456,-0.7159,-86.10,4.97,-284.48,Pull
2,11132999543,1.3637,0.5819,-0.8630,-31.57,89.25,-310.73,Pull
2,11133039517,1.8783,0.5680,-0.9384,12.88,197.40,-332.92,Pull
2,11133079513,2.7926,0.7357,-0.9055,83.51,331.94,-343.42,Pull
2,11133119518,3.9264,0.6603,-0.7305,132.65,492.80,-330.89,Pull
2,11133159513,4.4323,0.6434,-0.7832,162.12,654.36,-274.75,Pull
2,11133199514,4.7953,0.7152,-0.2782,176.47,758.38,-173.81,Pull
2,11133239513,5.4263,1.4252,1.1017,299.04,819.98,-8.68,Pull
2,11133279515,6.1371,1.5087,1.8629,416.01,696.36,223.51,Pull
2,11133319513,3.4953,0.0600,2.5269,349.93,421.12,336.70,Pull
2,11133359514,1.5840,-0.3250,2.4244,96.39,224.84,270.76,Pull
2,11133399512,0.2738,-0.3616,2.1177,-4.55,138.11,166.81,Pull
2,11133439515,0.0015,-0.2635,1.9771,-28.56,101.01,104.02,Pull
2,11133479513,-0.1471,-0.0461,1.7766,-11.62,89.74,73.43,Pull
2,11133519513,-0.1376,-0.2686,1.5928,1.12,70.21,63.98,Pull
2,11133559513,-0.1720,0.0659,1.4142,-2.03,40.74,56.21,Pull
2,11133599512,-0.3579,-0.0307,1.2620,-6.23,18.06,42.42,Pull
2,11133639512,-0.4743,0.1676,1.0973,-11.97,2.66,26.11,Pull
2,11133679516,-0.5541,0.2240,1.0021,-18.83,-3.29,10.08,Pull
2,11133719513,-0.5285,0.3009,0.9245,-14.49,-5.74,-0.56,Pull
2,11133759526,-0.4824,0.4297,0.8279,-19.11,-8.68,-5.46,Pull
2,11133799516,-0.4092,0.4099,0.8162,-19.60,-14.00,-5.81,Pull
2,11133839513,-0.4370,0.5373,0.7788,-20.30,-13.93,-3.29,Pull
2,11133879513,-0.4385,0.4948,0.7305,4.55,-9.80,1.40,Pull
2,11133919514,-0.4487,0.4890,0.7020,4.69,-6.51,2.03,Pull
2,11133959560,-0.4714,0.5497,0.6727,8.26,-3.29,1.89,Pull
2,11133999534,-0.4253,0.4443,0.7013,10.92,-0.56,0.00,Pull
2,11134039526,-0.4202,0.5087,0.7071,7.77,-1.75,-1.54,Pull
2,11134079515,-0.4077,0.4846,0.6954,-1.05,-2.80,-3.01,Pull
2,11134119512,-0.4150,0.5234,0.6859,3.43,-3.99,-5.18,Pull
2,11134159517,-0.4458,0.5893,0.6830,5.81,-3.29,-7.84,Pull
3,11139223409,-0.3162,-0.0922,1.2773,5.74,-44.94,4.90,Pull
3,11139257782,-0.4231,-0.0695,1.2971,15.40,-60.48,6.23,Pull
3,11139297782,-0.4421,-0.1362,1.2481,-1.33,-76.30,-0.77,Pull
3,11139337778,-0.4904,-0.1244,1.2642,-16.24,-87.50,-8.89,Pull
3,11139377778,-0.6046,-0.1193,1.3710,-35.70,-96.74,-14.21,Pull
3,11139417782,-0.5988,-0.1010,1.5050,-48.65,-108.57,-18.27,Pull
3,11139457796,-0.4509,-0.1340,1.4574,-95.97,-141.68,-29.40,Pull
3,11139497784,-0.4714,0.0322,1.2166,-128.73,-185.15,-33.74,Pull
3,11139537776,-0.5549,0.1164,0.9238,-151.48,-219.87,-30.66,Pull
