Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,3487795417,-0.0271,-0.0102,0.9772,-1.68,-0.70,4.55,Stationary
1,3487828409,-0.0439,0.0659,0.9933,-5.04,2.52,2.52,Stationary
1,3487868406,-0.0037,0.0439,1.0087,6.65,5.11,2.24,Stationary
1,3487908403,-0.0044,0.0102,1.0504,7.21,6.37,1.05,Stationary
1,3487948489,0.0198,0.0747,1.0665,4.55,5.32,0.14,Stationary
1,3487988431,0.0212,0.0242,1.0958,0.63,4.41,-0.14,Stationary
1,3488028406,0.0403,0.0549,1.0812,-4.34,4.41,-0.91,Stationary
1,3488068401,0.0081,0.0622,1.0775,-7.14,2.87,-1.26,Stationary
1,3488108402,0.0447,0.0483,0.9882,-11.06,0.14,-1.40,Stationary
1,3488148399,0.0198,0.0732,0.9428,-2.24,-3.22,1.12,Stationary
1,3488188403,-0.0022,0.0161,0.9296,8.19,-5.67,4.13,Stationary
1,3488228400,-0.0183,0.0593,0.9113,3.50,-6.02,4.13,Stationary
1,3488268398,-0.0264,0.0329,0.9216,8.61,-5.39,4.69,Stationary
1,3488308399,-0.0242,0.0366,0.9289,1.89,-4.41,2.87,Stationary
1,3488348399,-0.0015,0.0322,0.9223,6.51,-3.64,2.66,Stationary
1,3488388397,0.0073,0.0761,0.9370,19.67,-7.56,5.11,Stationary
1,3488428402,-0.0110,-0.0088,1.0314,37.45,-11.41,8.05,Stationary
1,3488468398,-0.0139,-0.0395,1.1185,27.16,-15.75,5.81,Stationary
1,3488508423,-0.0322,-0.0212,1.0899,15.12,-19.46,1.33,Stationary
1,3488548412,-0.0637,-0.0051,1.0233,7.14,-21.63,-0.98,Stationary
1,3488588403,-0.0681,0.0132,0.9509,8.96,-22.75,-0.77,Stationary
1,3488628399,-0.1091,-0.0015,0.8879,13.37,-20.02,0.35,Stationary
1,3488668403,-0.1427,-0.0044,0.8550,5.39,-11.97,-0.21,Stationary
1,3488708399,-0.1486,-0.0029,0.8520,1.40,-1.75,-0.42,Stationary
1,3488748398,-0.1135,-0.0037,0.9033,0.00,8.33,-0.91,Stationary
1,3488788402,-0.0886,0.0037,0.9457,0.49,14.98,-1.19,Stationary
1,3488828402,-0.0564,-0.0022,0.9984,-3.08,17.29,-1.75,Stationary
1,3488868401,-0.0256,-0.0073,1.0372,2.87,16.10,-1.40,Stationary
