Recording Key,Recording ID,Shot Type,Sample Count,acceleration_x_mean,acceleration_x_std,acceleration_x_min,acceleration_x_max,acceleration_x_range,acceleration_x_median,acceleration_x_q25,acceleration_x_q75,acceleration_x_rms,acceleration_x_energy,acceleration_x_total_abs_change,acceleration_x_max_step_change,acceleration_x_peak_time_step,acceleration_x_zero_crossings,acceleration_x_first_value,acceleration_x_last_value,acceleration_y_mean,acceleration_y_std,acceleration_y_min,acceleration_y_max,acceleration_y_range,acceleration_y_median,acceleration_y_q25,acceleration_y_q75,acceleration_y_rms,acceleration_y_energy,acceleration_y_total_abs_change,acceleration_y_max_step_change,acceleration_y_peak_time_step,acceleration_y_zero_crossings,acceleration_y_first_value,acceleration_y_last_value,acceleration_z_mean,acceleration_z_std,acceleration_z_min,acceleration_z_max,acceleration_z_range,acceleration_z_median,acceleration_z_q25,acceleration_z_q75,acceleration_z_rms,acceleration_z_energy,acceleration_z_total_abs_change,acceleration_z_max_step_change,acceleration_z_peak_time_step,acceleration_z_zero_crossings,acceleration_z_first_value,acceleration_z_last_value,gyroscope_x_mean,gyroscope_x_std,gyroscope_x_min,gyroscope_x_max,gyroscope_x_range,gyroscope_x_median,gyroscope_x_q25,gyroscope_x_q75,gyroscope_x_rms,gyroscope_x_energy,gyroscope_x_total_abs_change,gyroscope_x_max_step_change,gyroscope_x_peak_time_step,gyroscope_x_zero_crossings,gyroscope_x_first_value,gyroscope_x_last_value,gyroscope_y_mean,gyroscope_y_std,gyroscope_y_min,gyroscope_y_max,gyroscope_y_range,gyroscope_y_median,gyroscope_y_q25,gyroscope_y_q75,gyroscope_y_rms,gyroscope_y_energy,gyroscope_y_total_abs_change,gyroscope_y_max_step_change,gyroscope_y_peak_time_step,gyroscope_y_zero_crossings,gyroscope_y_first_value,gyroscope_y_last_value,gyroscope_z_mean,gyroscope_z_std,gyroscope_z_min,gyroscope_z_max,gyroscope_z_range,gyroscope_z_median,gyroscope_z_q25,gyroscope_z_q75,gyroscope_z_rms,gyroscope_z_energy,gyroscope_z_total_abs_change,gyroscope_z_max_step_change,gyroscope_z_peak_time_step,gyroscope_z_zero_crossings,gyroscope_z_first_value,gyroscope_z_last_value,acceleration_magnitude_mean,acceleration_magnitude_std,acceleration_magnitude_min,acceleration_magnitude_max,acceleration_magnitude_range,acceleration_magnitude_median,acceleration_magnitude_q25,acceleration_magnitude_q75,acceleration_magnitude_rms,acceleration_magnitude_energy,acceleration_magnitude_total_abs_change,acceleration_magnitude_max_step_change,acceleration_magnitude_peak_time_step,acceleration_magnitude_zero_crossings,acceleration_magnitude_first_value,acceleration_magnitude_last_value,gyroscope_magnitude_mean,gyroscope_magnitude_std,gyroscope_magnitude_min,gyroscope_magnitude_max,gyroscope_magnitude_range,gyroscope_magnitude_median,gyroscope_magnitude_q25,gyroscope_magnitude_q75,gyroscope_magnitude_rms,gyroscope_magnitude_energy,gyroscope_magnitude_total_abs_change,gyroscope_magnitude_max_step_change,gyroscope_magnitude_peak_time_step,gyroscope_magnitude_zero_crossings,gyroscope_magnitude_first_value,gyroscope_magnitude_last_value,dynamic_acceleration_mean,dynamic_acceleration_std,dynamic_acceleration_min,dynamic_acceleration_max,dynamic_acceleration_range,dynamic_acceleration_median,dynamic_acceleration_q25,dynamic_acceleration_q75,dynamic_acceleration_rms,dynamic_acceleration_energy,dynamic_acceleration_total_abs_change,dynamic_acceleration_max_step_change,dynamic_acceleration_peak_time_step,dynamic_acceleration_zero_crossings,dynamic_acceleration_first_value,dynamic_acceleration_last_value,acceleration_xy_correlation,acceleration_xz_correlation,acceleration_yz_correlation,gyroscope_xy_correlation,gyroscope_xz_correlation,gyroscope_yz_correlation
Cut_1,1,Cut,50,0.433372,2.243762252315135,-1.1902,8.7489,9.9391,-0.35025,-0.8503999999999999,0.278525,2.2630932270677673,256.07954772000005,20.570000000000004,3.4945999999999997,29,2,-0.1369,-0.8477,0.140072,0.4695459943739837,-1.4186,1.6799,3.0985,0.0769,-0.048825,0.28015,0.4854731065671919,11.784206860000001,10.886300000000002,2.0576,29,8,0.093,0.2101,0.5925980000000001,1.105207903886072,-1.6353,3.1886,4.8239,0.6632,-0.033125,1.3660750000000002,1.2442777865894736,77.41136051,12.178700000000001,2.0504,31,2,0.9794,0.1427,24.0688,136.22740499620477,-137.69,719.88,857.5699999999999,-0.13999999999999996,-34.755,21.91,136.98925099437545,938302.7443999999,2160.62,400.68,30,8,5.18,23.24,9.944199999999999,276.22152682584317,-294.28,882.98,1177.26,-33.74,-128.415,-5.3725,273.62611782868976,3743562.6179000004,2523.64,391.36999999999995,28,2,-0.98,-7.84,-21.326200000000004,163.36932062660966,-465.85,335.02,800.87,0.07,-34.1075,48.86,163.127407353884,1330527.5515,1714.5099999999998,325.01,25,5,1.96,-38.71,1.911438962095895,1.8216115863185458,0.3762619964864908,9.028812685508544,8.652550689022053,1.3104033167880957,0.9461089536281926,1.8172753410570905,2.627832243846627,345.27511509,19.44121765816973,2.3930440562443476,29,0,0.9932849389777336,0.8849297090729862,232.9039867359178,259.5199477970963,3.686814343033834,999.1036463750896,995.4168320320558,143.3337732496146,48.5780108571986,280.84447535361585,346.76772957701814,6012392.9138,2281.249135872945,467.72299110054917,30,0,5.624446639448187,45.82605481601051,1.0678891273272775,1.732709683204256,0.0067150610222663,8.028812685508544,8.022097624486278,0.41860148298302213,0.15190035470370192,0.8172753410570905,2.0205505135007664,204.13121888041056,19.01339275474835,2.393044056244347,29,0,0.0067150610222663,0.1150702909270138,0.4708291947606541,-0.12592981266920553,-0.719389264403157,0.7400306283753905,0.06892895417462766,-0.25035716134842795
Cut_10,10,Cut,50,0.507976,1.7539810705189423,-0.7591,6.6144,7.3735,-0.40149999999999997,-0.5276000000000001,0.831525,1.8091324496564645,163.64801102,16.4403,3.1542,28,2,-0.0417,-0.388,0.33171600000000007,0.38822149125130584,-0.9084,1.4091,2.3175,0.29315,0.11675,0.610325,0.5076781582853451,12.886855619999999,9.222100000000001,1.7832,28,8,0.134,0.7745,0.6858399999999999,0.8940037090732535,-1.0621,2.316,3.3781,0.7214,0.527925,1.2520499999999999,1.119658110674861,62.68171423999999,9.3146,1.423,29,2,0.9282,0.5878,48.90619999999999,143.12945022601045,-117.39,605.43,722.8199999999999,1.89,-16.380000000000003,45.412499999999994,149.89374613371967,1123406.7565,1807.0499999999997,332.98999999999995,29,6,1.19,55.58,9.5046,281.81246043778833,-337.19,926.8,1263.99,-9.45,-117.775,-1.19,279.1419621303827,3896011.7510999995,2682.1200000000003,338.72999999999996,27,4,-7.49,-6.93,-33.5916,125.42930649573091,-375.13,277.83,652.96,-3.92,-22.75,12.7575,128.6322521765051,827312.815,1383.8300000000002,205.31,23,3,13.86,-4.69,1.7327997960125388,1.3483688121619872,0.3193272459405867,7.041821953159565,6.722494707218979,1.1424381782204884,0.9994788924289486,1.9208445724945025,2.1873115044730143,239.21658088000004,16.100805912520343,2.8612967648608505,28,0,0.9387492370170002,1.046853900981412,220.76109998896277,263.8010288844087,8.442185735933556,985.5055576200472,977.0633718841136,84.11929333896234,21.746189141418654,324.42238554875325,341.95705351988283,5846731.3226,2124.584348291736,427.1044448321293,27,0,15.799234158654652,56.206382199889006,0.8165913731806009,1.2983154528559044,0.0001352208576599,6.041821953159565,6.041686732301906,0.294306734667019,0.03517176678407578,0.9208445724945022,1.522738331288381,115.93660127874617,15.782246248017776,2.8612967648608505,28,0,0.0612507629829998,0.0468539009814119,0.2573665273734617,-0.31396912192820026,-0.43294028172826277,0.795822443791085,-0.08152699549113761,-0.17555719037673032
Cut_11,11,Cut,50,0.450486,1.4786642338038114,-0.6061,5.6906,6.2966999999999995,-0.23204999999999998,-0.35829999999999995,0.367075,1.5315536537124645,117.28282971,13.950700000000001,2.6008000000000004,29,2,-0.1413,-0.2906,0.331294,0.3586350719899331,-1.4618,0.8242,2.286,0.3986,0.285125,0.49175,0.4855949412833705,11.790122350000003,7.851100000000001,1.5628,31,4,0.3887,0.4868,0.725364,0.9064094287655563,-1.0797,2.5525,3.6322,0.8754500000000001,0.335425,1.12015,1.1538194936817456,66.5649712,9.1403,1.6322999999999999,30,2,0.9457,0.822,39.131400000000006,129.32133659222674,-87.22,519.82,607.0400000000001,3.115,-7.385,12.32,133.86857137506175,896039.7201000002,1349.2500000000002,248.78,30,8,8.4,12.11,29.541400000000003,248.96107064760145,-273.84,810.67,1084.51,0.665,-72.9575,12.04,248.22303824987722,3080733.8359000003,2235.4500000000003,287.28000000000003,28,3,-0.63,0.14,-10.840199999999998,123.71974135925116,-277.83,369.74,647.5699999999999,-1.05,-10.4475,11.6725,122.95508468542486,755897.6425,1344.28,203.63,30,4,-3.36,-1.54,1.5958831725892813,1.1805893394464744,0.3008992356254831,6.24559621333304,5.944696977707557,1.0936930023866642,0.9988489617504714,1.7899062253081315,1.9780693782574967,195.63792326,14.106814160938642,1.7764210164494165,29,0,1.0321830603143998,0.9985522520128828,193.00106015461063,242.02381133740124,6.136489224304073,880.9823239997498,874.8458347754457,84.88034008891458,12.279396295078449,264.1840952359034,307.6579658809439,4732671.198500001,1875.9877198079635,322.0637101324196,29,0,9.068985610309458,12.208329124003823,0.7048865465641886,1.1176355674945324,0.0002609090367627,5.24559621333304,5.245335304296277,0.23539763025522037,0.037021502831590676,0.7921749031383554,1.3118658925444464,86.04960600107185,13.665486748629178,1.776421016449416,29,0,0.0321830603143997,0.0014477479871171,0.14712913173801898,-0.10621825944270705,-0.3785879500644606,0.8588770044838595,0.33466979243842876,0.06675481097595773
Cut_12,12,Cut,50,0.39884000000000003,1.5805089434761714,-0.672,5.8838,6.5558,-0.35575,-0.438625,0.33325,1.6146583835598167,130.35608478,14.262199999999998,3.0100000000000002,24,2,-0.1354,-0.1852,0.3575539999999999,0.34768401453513115,-1.0673,1.0197,2.0869999999999997,0.44395,0.174975,0.560675,0.4962976459746712,12.315567670000002,7.496499999999999,1.0629,26,2,0.2255,0.5614,0.739152,0.908938107104625,-0.9845,2.9419,3.9264,0.7528999999999999,0.203525,1.2462250000000001,1.1644701765180592,67.7995396,10.632200000000001,2.0094000000000003,25,2,1.1287,0.7913,40.263999999999996,135.18829387191778,-105.07,540.61,645.6800000000001,9.17,-9.415,29.085,139.7553111692003,976577.3500000001,1606.2199999999998,264.25,25,8,1.68,62.58,18.706799999999998,254.4656426946475,-281.68,824.32,1106.0,-1.225,-100.55499999999999,9.625,252.60176644671353,3190382.6206000005,2310.7000000000003,308.14,23,5,-0.84,2.52,-27.699000000000005,133.72087664235528,-377.16,330.82,707.98,-10.15,-24.535,3.2375,135.24378726581122,914544.0997,1452.4300000000003,214.82999999999998,20,4,-4.34,-11.13,1.607613986122991,1.287697324930994,0.2118332126933829,6.262379379277497,6.050546166584113,1.065677382885275,0.9719936551532037,1.8881192196526901,2.0516880467069063,210.47119205,14.479807672237019,2.1671457546027466,24,0,1.158942233245471,0.9877371563325944,203.12754162335798,248.19611082493506,4.72901681113527,914.4515741142338,909.7225573030986,71.79614817820473,20.013792381558613,293.78774859157573,318.7947324000194,5081504.070300001,2000.5668620666825,351.8427439848051,24,0,4.72901681113527,63.61197764572329,0.7632912294018326,1.2001625603634793,0.0006971619825848,5.262379379277497,5.261682217294912,0.3037105936868544,0.032043652494558775,0.8959540738356989,1.4121600011167357,99.70979343770095,14.340854937005814,2.167145754602747,24,0,0.158942233245471,0.0122628436674055,0.2108056859588016,-0.12246939109524707,-0.5736098446267915,0.9090695071184007,0.1595209321924763,-0.007221594514852011
Cut_13,13,Cut,50,0.403818,1.681924836425122,-0.8923,6.4972,7.3895,-0.3338,-0.572825,0.4643,1.7132900248936256,146.76813547,15.6583,3.4968000000000004,25,2,-0.2862,-0.6529,0.039998,0.6074056065037965,-1.2049,1.4464,2.6513,0.12185,-0.21265,0.314775,0.6026297199773673,18.158128970000003,10.2753,1.4289,20,4,0.0578,0.2621,0.628568,0.76414377839327,-0.568,2.5642,3.1322,0.6109,-0.070275,1.1810749999999999,0.983531967146976,48.36675652000001,8.249600000000001,1.0737999999999999,27,2,1.4508,0.8198,47.425,148.53136587939937,-122.22,641.69,763.9100000000001,2.17,-33.8975,54.215,154.49746257463258,1193473.2970999999,2033.15,314.86000000000007,26,7,-12.74,7.49,15.391600000000004,250.61906098299866,-254.31,819.56,1073.87,-33.53,-122.9375,31.36,248.57718480182368,3089530.8402,2237.27,330.89000000000004,25,3,-81.06,21.91,-5.880000000000003,176.6539045704906,-338.1,534.1,872.2,-33.46,-51.695,-7.315,174.9772681236051,1530852.2179999999,1831.06,216.23000000000002,26,2,-12.88,-34.72,1.5936555543346642,1.3271583857842375,0.2128378960617681,6.72055842694638,6.507720530884612,1.1751426785186956,0.8597532182029904,1.66048911131787,2.0653959473185766,213.29302096,15.440990421739738,3.0861698717695947,25,0,1.4798891580115048,1.0802994307135407,243.25591736585363,241.38986539370876,41.73280004984089,1007.2934085955294,965.5606085456885,194.79275193124516,68.02180592546395,269.87400710176405,340.9943212225095,5813856.3553,2181.958960376613,351.3223179977806,26,0,83.05977124938403,41.73280004984089,0.8081296233883632,1.206054379224158,0.0048011555472945,5.72055842694638,5.715757271399085,0.4422874164576346,0.15754233099105447,0.7461185053719466,1.4417174863788924,103.9274655265336,14.694650715808546,3.0861698717695947,25,0,0.4798891580115048,0.0802994307135407,0.4359628803355391,-0.026845470759978146,-0.6131732935445519,0.8965722790122227,0.4517950972117643,0.3334174324382828
Cut_14,14,Cut,50,0.579974,1.8073909941229471,-0.7027,6.8559,7.5586,-0.00875,-0.42952500000000005,0.536575,1.880877136391423,176.88494010999997,16.040699999999998,3.1965999999999997,33,5,0.0022,-0.3477,0.20427399999999998,0.4039394215089431,-1.6382,0.9509,2.5891,0.20385,0.0878,0.397675,0.4490340546105607,10.08157911,9.117899999999999,2.5766,35,4,0.0871,0.5256,0.8035139999999998,0.8565593683059296,-0.926,2.6718,3.5978000000000003,0.9673,0.54845,1.2746,1.168184412068574,68.23274103,9.187399999999998,1.5379,35,2,0.9582,0.7598,31.767400000000002,161.55704979356366,-153.79,679.21,833.0,0.315,-12.512500000000001,8.995,163.0577641021733,1329391.7216999999,2163.77,767.4100000000001,35,9,4.76,-4.55,29.882999999999996,269.6594775823761,-264.6,883.47,1148.0700000000002,0.105,-90.51,17.5525,268.6166466583931,3607745.1431,2393.2300000000005,356.72,33,6,-0.7,-7.49,-18.645200000000003,141.42821059463347,-405.37,402.78,808.15,5.005000000000001,-19.67,11.025,141.24285277492802,997477.1729999998,1677.97,185.22,29,3,9.24,-20.09,1.7062849453521773,1.4957684838947416,0.2173108602900462,7.227617029837704,7.010306169547658,1.084834651349208,0.9959285068715971,1.7722513434010811,2.25920012504426,255.19926024999998,15.855287895992578,2.4628362919652886,34,0,0.9621530491559024,0.9871406637354172,211.41697214498382,274.7821858086932,5.612673159912307,990.463055141382,984.8503819814697,74.88313580604627,17.51627578417944,281.168822426778,344.5174607418324,5934614.0378,2108.4103398027883,615.0557028981586,34,0,10.417542896479956,21.918273198406848,0.8350016275505134,1.4264940596897853,0.0020172045571126,6.227617029837704,6.225599825280591,0.28449286913105687,0.03336155250460668,0.7855062872389689,1.640553356125806,134.5707657147823,15.542239021480322,2.462836291965288,34,0,0.0378469508440977,0.0128593362645827,0.22853234888020701,-0.22051149557034286,-0.5287448530608527,0.8113694815160996,0.19199578442286752,0.039499020734869425
Cut_15,15,Cut,50,0.720718,1.926802994990957,-0.8228,7.3156,8.1384,0.0059,-0.13195,0.642175,2.0390568460442684,207.88764107,17.201999999999998,3.7338999999999998,32,3,0.0044,-0.1098,0.4299,0.4417901681262964,-1.3535,1.0965,2.45,0.32389999999999997,0.1343,0.8429,0.6132609490257797,18.804449579999996,9.9182,2.4368999999999996,33,4,0.1076,0.855,0.7256560000000001,0.816247801299661,-0.8345,2.5152,3.3497000000000003,0.773,0.3638,1.054625,1.0860533568844581,58.9755947,9.8206,1.5116,33,2,0.9736,0.3704,27.867000000000004,128.7271356396933,-131.32,457.59,588.91,3.5700000000000003,-27.439999999999998,19.005,130.44474550552047,850791.5815000001,1614.0599999999997,391.37,32,10,2.1,28.42,39.0194,277.20293832858266,-251.09,912.45,1163.54,-0.735,-93.6075,25.9525,277.17711524222193,3841357.6607,2453.71,321.78999999999996,31,4,-0.84,-6.09,-40.6826,137.50343245897537,-460.46,238.84,699.3,3.255,-35.315,11.83,142.0708414911378,1009206.2001,1730.05,221.55,28,8,3.01,4.76,1.7799943650617722,1.611493719348079,0.2095229343055313,7.639656267136631,7.430133332831099,1.139700289311436,0.9758319864594389,1.9226136019902895,2.3902622674091645,285.66768535,17.939175310772143,3.0585245095902485,32,0,0.9795376868706992,0.93823088842779,205.14678315951014,270.9429983829812,2.6691946350912663,959.5092067823008,956.8400121472096,71.30764131799134,16.05055585961403,267.73605612285456,337.67900267265657,5701355.4423,2076.458539424086,425.13487664991396,31,0,3.7650630804808567,29.452370023480288,0.9072804822239555,1.5419994651299804,0.0084810062663551,6.639656267136631,6.631175260870275,0.29429252227384944,0.04375476657971035,0.9409313878084935,1.7757716567386856,157.6682488438228,17.291166971640813,3.0585245095902485,32,0,0.0204623131293008,0.0617691115722101,0.02008534565962919,-0.22820827986316514,-0.35783098861968565,0.9437913968640554,-0.12042585139751485,-0.0698386948733519
Cut_16,16,Cut,50,0.3074,1.6321783505987528,-0.9692,5.8333,6.8025,-0.3609,-0.6074,0.32735000000000003,1.644755545605486,135.26104024000003,14.6963,3.0985,31,2,-0.0673,-0.5424,0.23697600000000002,0.35622787625396213,-0.9963,1.0131,2.0094,0.17055,0.031825,0.45032500000000003,0.4248740500430686,9.025897919999998,8.3051,1.2174,30,9,-0.022,0.6617,0.709544,0.9467690396031232,-1.2195,2.9097,4.1292,0.83775,0.439775,1.16385,1.1755410966869684,69.09484350000001,10.4661,2.0833,32,2,0.9911,0.5358,26.6882,148.64201950323468,-125.44,679.98,805.4200000000001,-4.9350000000000005,-31.132499999999997,8.715,149.54872444123356,1118241.0491000002,1842.5399999999997,577.36,32,7,-0.28,21.84,7.529200000000004,240.9842530789097,-271.6,810.6,1082.2,-2.1,-120.2775,6.282500000000001,238.6810232925944,2848431.5439999998,2246.5800000000004,318.5,30,7,-0.63,11.41,-33.3256,142.63934999851898,-425.74,346.43,772.1700000000001,-1.785,-48.475,5.2325,145.0850099079846,1052483.005,1607.83,234.29000000000002,27,3,1.33,-1.4,1.6174991747381071,1.2980880968034487,0.1876093014751667,6.428746081468765,6.241136779993599,1.057260487665311,0.9569810105940186,1.7535384478276548,2.0658256541150806,213.38178166,14.558441083974309,2.341988135948793,31,0,0.9936259356518428,1.009517850263184,198.65269445347462,249.326069079892,1.4980654191322889,907.8255767491904,906.3275113300581,84.14190545914624,19.794449340309,293.47392430085864,316.8329401466963,5019155.598100001,1896.8879395668284,555.0452958278088,31,0,1.4980654191322889,24.680634108547537,0.7674367689385814,1.2137301625798123,0.0030021765319645,5.428746081468765,5.425743904936801,0.3218167167476703,0.0456544946800655,0.7997567582123541,1.4257058896293395,101.63186418618933,14.218804386063065,2.341988135948793,31,0,0.0063740643481572,0.0095178502631838,0.5016518160337601,-0.1888333487065507,-0.5130143388115487,0.8227245690219415,0.12535815024265753,-0.09187812974948657
Cut_17,17,Cut,50,0.434092,1.694964792222384,-0.8806,6.8845,7.7651,-0.22435,-0.506525,0.443575,1.7331714855720424,150.19416992,16.7673,2.9515000000000002,30,3,0.0403,-0.4516,0.29131599999999996,0.4379206550814186,-2.1894,0.9882,3.1776,0.30015000000000003,0.189025,0.532875,0.5223064445323263,13.6402011,12.0506,2.6154,32,8,0.1984,0.6156,0.7444099999999999,0.8778019264861847,-1.1361,2.9353,4.0714,0.8183499999999999,0.3444,1.17505,1.1442341306743127,65.46358728999999,10.7437,2.0517,31,2,0.9692,0.6361,38.9284,140.90233968249072,-89.39,585.83,675.22,3.99,-36.33,11.3925,144.81650550955854,1048591.0134,2101.96,402.78,31,12,6.86,11.48,16.8098,257.4283352741108,-255.15,904.89,1160.04,-3.255,-117.07499999999999,2.6425,255.3948515965034,3261326.5111000002,2397.3599999999997,308.98,29,6,1.05,0.91,-21.221199999999996,139.98131186697745,-404.25,311.57,715.8199999999999,7.3149999999999995,-11.8475,34.02,140.18991278975815,982660.5824,1539.5799999999997,169.75,25,4,6.93,0.49,1.6489730519556685,1.3801977971690194,0.1289056243924213,7.189451915827799,7.0605462914353785,1.052874148280626,0.9859168039628733,1.8284622186892505,2.1414852710677237,229.29795831000004,16.647128942918876,2.281184932461879,30,0,0.9901188262021888,0.9937450025031572,204.82828042872808,255.34478026939746,3.4221338372424888,940.924538632084,937.5024047948415,97.77281909357231,12.712243868389765,271.67090776291417,325.34837042468797,5292578.1069,1969.2618019976783,330.4299669123751,29,0,9.807497132296293,11.526430496905798,0.801136676177946,1.2960666902921758,0.0018780414800996,6.189451915827799,6.1875738743477,0.2740222256619057,0.025729832043438625,0.8626603170714089,1.5126179498765258,114.40065311443318,16.062062524138952,2.2811849324618785,30,0,0.0098811737978112,0.0062549974968427,0.16138563437773434,-0.23195590440206007,-0.4122000027713652,0.8364260957277931,0.12413538012051814,0.0007077175395320951
Cut_18,18,Cut,50,0.39917,1.8739536296889767,-0.8052,7.8895,8.6947,-0.44065,-0.5803,0.28035,1.8975786811091655,180.04024255000002,18.316200000000002,3.548,27,2,-0.1032,-0.5556,0.157864,0.651963124586359,-2.4361,2.7692,5.2053,0.13505,-0.021625,0.398925,0.6644364830440905,22.073791999999997,15.8471,5.2053,27,10,0.0937,0.456,0.719906,0.8971089168761927,-1.1785,2.876,4.0545,0.8180000000000001,0.51225,1.162575,1.1432291849843583,65.34864847000001,10.4689,2.346,28,2,0.9933,0.7254,28.8106,156.827903186901,-114.1,714.42,828.52,-9.204999999999998,-32.0075,3.8850000000000002,157.90231811471293,1246657.1032999998,2092.65,677.81,28,11,-0.63,14.0,18.183200000000003,246.79547546906122,-248.92,868.49,1117.41,-4.34,-74.16499999999999,5.25,244.99076582597965,3001023.767,2284.31,412.79,26,4,-15.82,-3.71,-10.074399999999999,169.7881361226396,-422.52,575.61,998.13,-8.225,-20.65,6.965,168.38332601537482,1417647.224,2072.84,254.45,28,3,2.45,-6.51,1.7117055305703621,1.5712070743295747,0.175517805364584,8.561333957976409,8.385816152611826,1.0813997435296865,1.0018477089080564,1.7709879203104135,2.312845360243525,267.46268302000004,19.087727258875876,3.5483639227282926,27,0,1.0030328110286322,1.021191715595069,207.1194023338869,268.039204912749,6.786029767102411,1028.9302119191564,1022.144182152054,78.33318499532797,19.364226011317083,266.7799383735834,336.61040073949,5665328.094300001,2109.804170248486,593.7504972566437,27,0,16.020979994994065,15.879049089917192,0.830273913146256,1.510672180570987,0.0014526748678642,7.561333957976409,7.5598812831085445,0.2760359379995251,0.0274580147047454,0.820161317429519,1.7105094560566674,146.2921299629638,18.74843014516459,3.5483639227282926,27,0,0.0030328110286321,0.0211917155950689,0.34054881838101925,-0.23191906589994674,-0.4854364590062626,0.8160317529133473,0.3836713661457312,0.18824068153240822
